죄종별(1),죄종별(2),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
죄종별(1),죄종별(2),20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여,20세이하 남,21-30세 남,31-40세 남,41-50세 남,51-60세 남,61-70세 남,71세이상 남,20세이하 여,21-30세 여,31-40세 여,41-50세 여,51-60세 여,61-70세 여,71세이상 여
지능범죄,직무유기,1,26,137,240,235,25,5,-,13,31,35,20,3,1,1,14,119,203,218,14,5,1,16,39,32,14,4,-,1,14,136,221,297,28,6,-,21,31,32,14,1,-,3,15,115,160,197,16,6,2,3,38,40,15,-,2,3,23,96,169,196,18,5,-,10,30,44,23,1,1,1,25,107,160,186,21,5,-,19,42,63,24,3,-
지능범죄,직권남용,-,23,99,186,131,13,1,-,4,14,15,10,-,1,-,27,117,198,144,9,-,-,6,11,11,7,-,-,-,37,109,177,148,13,4,1,6,22,20,14,2,-,-,44,129,172,135,15,-,-,6,16,14,12,5,1,-,51,110,182,200,33,5,-,4,15,29,22,5,1,-,64,131,185,244,40,6,-,9,18,50,30,2,-
지능범죄,증수뢰,-,2,87,279,355,81,6,-,-,3,27,13,2,-,-,6,94,298,326,62,12,-,-,7,14,20,3,-,-,13,104,273,297,67,17,-,3,10,23,22,13,-,-,9,61,266,310,76,7,-,-,8,23,19,7,1,-,5,74,343,462,121,18,-,2,18,31,32,19,3,-,9,95,269,401,132,27,-,20,36,82,36,19,4
지능범죄,통화,30,34,16,309,18,5,-,5,5,9,1,2,-,-,16,17,14,240,16,14,4,-,2,1,4,3,2,1,39,27,12,157,22,13,2,2,5,3,2,1,1,-,38,29,7,43,86,3,1,4,7,-,-,1,1,-,22,34,13,362,61,14,2,4,4,2,1,5,4,1,9,13,5,108,96,3,1,7,3,3,2,3,1,1
지능범죄,문서·인장,1515,1365,2764,3847,3326,1269,497,852,571,1059,1523,1164,429,168,1331,1328,2698,3598,3403,1342,521,702,548,855,1326,1145,385,153,1470,1432,2322,3500,3409,1322,533,689,473,825,1250,1107,431,191,1521,1307,2222,3066,3230,1249,550,814,480,750,1146,1058,391,131,1209,1113,1785,2656,3001,1338,547,746,388,640,1002,923,336,146,1091,1061,1625,2483,2960,1471,630,650,364,558,1001,1009,459,138
지능범죄,유가증권인지,1,7,31,154,200,63,11,-,3,7,28,29,10,3,1,3,37,168,185,65,23,1,3,7,15,31,11,-,12,11,38,84,140,47,15,5,4,4,8,19,10,2,3,5,27,89,128,52,14,-,4,2,20,21,7,1,1,2,31,78,110,51,9,3,1,4,8,21,10,1,12,8,26,58,81,45,18,1,4,7,11,14,10,-
지능범죄,사기,10395,25442,41259,56490,42206,10250,2163,2537,7487,10215,14124,12545,3198,719,10252,22178,35480,51629,41555,10594,2385,2523,6194,9054,13276,12480,3406,773,12215,25508,34623,49543,41734,11015,2411,3148,7664,9685,13126,12641,3673,767,11601,25619,32974,47315,41652,12078,2418,2546,6733,9301,12394,13063,4078,840,10231,25879,29683,42658,38968,12241,2344,2312,6262,8636,11428,12387,4275,841,11813,29553,30575,44370,42430,14675,2873,2343,7291,9828,13369,13874,5340,1048
지능범죄,횡령,1665,2467,5120,7849,6280,2092,799,489,687,1320,1829,1492,450,148,1433,2217,4901,7617,6192,2101,856,452,643,1365,1844,1577,527,192,1685,2534,5383,8008,7293,2554,988,475,765,1336,2108,1874,677,222,1603,2845,4944,7397,7129,2876,1178,506,777,1314,1877,1879,827,362,1452,2724,4442,6693,6549,2923,1269,554,789,1141,1784,1894,944,369,1376,2554,4333,6659,7086,3494,1429,536,768,1322,1920,2080,1140,501
지능범죄,배임,4,177,1008,2133,2202,914,386,2,63,248,516,482,221,50,5,210,1274,2493,2416,938,378,1,74,226,491,508,239,74,7,166,899,2036,2316,967,373,9,77,175,414,492,210,57,19,147,762,1774,2071,984,375,6,64,211,368,477,235,59,5,131,812,1879,2274,966,372,4,61,198,315,477,227,64,5,143,846,1880,2219,1052,502,4,73,217,369,511,275,85
풍속범죄,소계,1697,7950,9109,10113,9220,2237,309,126,688,1110,2021,2510,791,118,1400,5590,7489,8970,8685,2188,355,75,598,1064,1770,2452,883,153,1562,5845,6917,8288,8965,2478,442,86,373,585,1339,2830,1123,223,2237,8816,9925,8066,8043,2346,431,117,387,464,981,2193,948,170,2077,5961,6763,6176,7190,2609,478,121,292,340,682,1928,929,221,2129,5495,5625,5120,6601,2650,484,138,249,303,544,1584,996,250
풍속범죄,성풍속범죄,1618,6108,4576,2409,1221,285,54,106,455,734,759,300,42,6,1257,3517,3332,2117,1142,284,52,58,408,759,705,257,41,1,1342,3478,3069,1758,923,299,73,73,191,288,235,130,28,4,1714,3287,2693,1629,1010,284,88,104,144,87,76,63,17,3,1870,3411,2848,1751,1087,385,142,112,173,96,77,55,21,5,1977,3872,2885,1710,1092,410,152,124,170,129,100,62,14,5
풍속범죄,도박,79,1842,4533,7704,7999,1952,255,20,233,376,1262,2210,749,112,143,2073,4157,6853,7543,1904,303,17,190,305,1065,2195,842,152,220,2367,3848,6530,8042,2179,369,13,182,297,1104,2700,1095,219,523,5529,7232,6437,7033,2062,343,13,243,377,905,2130,931,167,207,2550,3915,4425,6103,2224,336,9,119,244,605,1873,908,216,152,1623,2740,3410,5509,2240,332,14,79,174,444,1522,982,245
